actual_e2e_ms,block,client_latency_ms,completed_timestamp,concurrency,condition_id,error,eval_count,excluded,inference_ms,model,node_id,node_state,queue_wait_ms,request_id,response,role,run_order,stage_seconds,status,target_node,timestamp,tokens_per_second,ttft_ms,within_block_order
200.014,0,201.136,1788522033.2191186,1,warmup,,8,True,200.012,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,0.002,d4e0f26d-c705-465e-9b44-67ba785c890c,Edge computing reduces latency by processing data closer,agx,0,,ok,agx,1788522033.0179849,276.129,170.595,
189.09,1,192.091,1788522033.411947,32,b01-o01-agx-c32,,8,False,189.088,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,0.002,a1792696-9fc8-4e1c-a452-a09d34a3c01e,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.2198586,281.492,160.37,1
377.922,1,381.624,1788522033.6020088,32,b01-o01-agx-c32,,8,False,189.975,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,187.947,536dfc3d-a8a3-4fc9-bf4c-a81cc2cd9582,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.2203867,282.028,349.225,1
557.569,1,561.592,1788522033.7817147,32,b01-o01-agx-c32,,8,False,179.616,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,377.953,5afb4b23-5413-4a05-9951-b0c250deb695,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.220124,281.037,528.873,1
744.288,1,748.488,1788522033.969166,32,b01-o01-agx-c32,,8,False,187.328,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,556.96,0870326a-f8b6-4247-8692-b516bca5d86b,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.2206795,282.028,715.474,1
926.761,1,930.952,1788522034.1518896,32,b01-o01-agx-c32,,8,False,182.66,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,744.102,4b0f3ac0-e4c2-4f2a-9222-bf3f95a6db20,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.2209392,276.167,897.569,1
,1,1049.759,1788522034.2731748,32,b01-o01-agx-c32,ConnectionResetError:[Errno 104] Connection reset by peer,,False,,,,,,9853b26d-0f1b-4d99-9002-55451071a1a6,,,1,30.0,error,agx,1788522033.2234163,,,1
,1,1048.738,1788522034.273505,32,b01-o01-agx-c32,ConnectionResetError:[Errno 104] Connection reset by peer,,False,,,,,,38d98575-9034-4c7b-8af4-3626e77d113c,,,1,30.0,error,agx,1788522033.2247674,,,1
1141.495,1,1145.278,1788522034.3667138,32,b01-o01-agx-c32,,8,False,214.73,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,926.765,5e00c025-eca5-4b8e-9924-a32946eaeb5e,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.2214372,279.877,1112.415,1
1318.23,1,1322.61,1788522034.5437768,32,b01-o01-agx-c32,,8,False,176.937,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,1141.292,02c76194-b6d6-4de5-843e-8c86ef1afe51,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.221169,281.74,1289.478,1
1500.984,1,1505.064,1788522034.7271228,32,b01-o01-agx-c32,,8,False,183.311,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,1317.673,d7f65da2-c252-4da0-b268-5ea13af43602,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.2220602,281.67,1472.126,1
1688.28,1,1692.664,1788522034.9144852,32,b01-o01-agx-c32,,8,False,187.269,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,1501.011,c60d2d88-7c12-44f0-84ae-dfc579919454,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.2218232,281.839,1659.499,1
1875.049,1,1880.263,1788522035.102691,32,b01-o01-agx-c32,,8,False,188.175,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,1686.874,7b0778da-7036-444a-acdb-f7edcd1b15cc,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.22243,281.334,1846.397,1
2064.879,1,2070.438,1788522035.292684,32,b01-o01-agx-c32,,8,False,189.885,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,1874.994,2863e894-d387-439c-80cf-ae0917a349a1,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.2222478,269.733,2034.894,1
2237.284,1,2242.937,1788522035.4656312,32,b01-o01-agx-c32,,8,False,172.861,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,2064.424,0ae6ed09-bde2-43b1-8bb1-be712eed6d06,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.2226965,282.028,2208.584,1
2413.369,1,2419.029,1788522035.6419878,32,b01-o01-agx-c32,,8,False,176.268,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,2237.101,1b6363a7-f6df-44f6-8152-7847f3d59903,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.2229612,279.105,2384.295,1
2598.952,1,2604.816,1788522035.8279862,32,b01-o01-agx-c32,,8,False,185.969,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,2412.983,bb159068-6a87-4de8-87f5-2009017f9cf4,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.2231722,281.512,2570.217,1
2776.739,1,2781.462,1788522036.0066147,32,b01-o01-agx-c32,,8,False,178.655,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,2598.083,166d05cd-8c08-4982-80ea-6f233872eaf5,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.2251542,280.269,2747.96,1
2973.82,1,2980.501,1788522036.2041433,32,b01-o01-agx-c32,,8,False,197.463,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,2776.357,b4a1ecdc-b815-44f8-8edb-d1c4b21e1362,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.2236428,281.77,2945.053,1
3151.818,1,3158.614,1788522036.3829703,32,b01-o01-agx-c32,,8,False,178.591,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,2973.227,34e04c8b-af3f-4fda-87dc-f66c79effd44,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.2243586,281.69,3123.073,1
3332.495,1,3338.809,1788522036.5641892,32,b01-o01-agx-c32,,8,False,180.931,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,3151.565,15c3ffb3-8af9-4326-acf0-0d19ea468748,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.225382,282.117,3303.734,1
3524.554,1,3530.094,1788522036.7561767,32,b01-o01-agx-c32,,8,False,191.892,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,3332.662,9822e09f-e31c-4d15-87c1-adfc26278647,Edge computing reduces latency by processing data closer,agx,1,30.0,ok,agx,1788522033.2260847,280.603,3495.57,1
