actual_e2e_ms,block,client_latency_ms,completed_timestamp,concurrency,condition_id,eval_count,excluded,inference_ms,model,node_id,node_state,queue_wait_ms,request_id,response,role,run_order,stage_seconds,status,target_node,timestamp,tokens_per_second,ttft_ms,within_block_order
29.701,0,31.526,1788523486.1833906,1,warmup,8,True,29.698,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,0.003,4e9a959d-98cf-4f99-85d1-ed62db0e7296,Edge computing reduces latency by processing data closer,spark,0,,ok,spark,1788523486.1518664,504.159,13.002,
20.232,1,24.289,1788523486.2091224,16,b01-o01-spark-c16,8,False,20.229,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,0.003,54651123-25cb-4cc3-85ef-7e666d70b012,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.1848376,511.019,4.331,1
39.849,1,43.858,1788523486.22968,16,b01-o01-spark-c16,8,False,20.231,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,19.618,094b9fc5-e219-4256-977a-e2a04800515e,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.1858292,516.529,23.885,1
59.8,1,64.273,1788523486.249537,16,b01-o01-spark-c16,8,False,20.0,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,39.8,3405169a-98ca-4f18-b6f3-a81fb2fe8ee9,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.1852686,529.801,44.479,1
78.246,1,83.169,1788523486.2699506,16,b01-o01-spark-c16,8,False,20.354,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,57.892,3bdb0591-0d91-4166-8983-f8df87fa4295,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.1867864,516.296,62.983,1
99.255,1,104.107,1788523486.2915385,16,b01-o01-spark-c16,8,False,21.638,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,77.618,114bfdb9-7070-4494-ac31-c42df5ad542b,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.1874347,488.49,82.649,1
119.73,1,124.438,1788523486.3124197,16,b01-o01-spark-c16,8,False,20.861,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,98.869,b25cf3b2-b9f5-4ce0-a4e4-08283d9c7f71,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.1879845,497.822,103.051,1
138.967,1,143.561,1788523486.3326464,16,b01-o01-spark-c16,8,False,20.293,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,118.674,be0a75a9-3eec-4eeb-9b47-ea25d8034b8c,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.1890857,531.456,123.551,1
159.753,1,167.196,1788523486.355756,16,b01-o01-spark-c16,8,False,20.957,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,138.796,d9a6f2ec-70d3-44e1-855b-95cf182d1ec2,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.1885614,522.568,143.803,1
181.433,1,185.733,1788523486.375433,16,b01-o01-spark-c16,8,False,21.794,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,159.64,5860f1fd-0946-41fb-8fe7-7e74d68e9c7b,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.1897006,496.401,164.706,1
200.332,1,204.962,1788523486.3953679,16,b01-o01-spark-c16,8,False,19.436,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,180.896,23392a48-07ad-40c6-9212-944700ea0c9e,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.1904109,536.013,185.049,1
218.744,1,224.908,1788523486.4162996,16,b01-o01-spark-c16,8,False,20.883,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,197.86,2427de28-889c-462f-a321-e2abe9d773a5,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.1913953,513.149,202.129,1
238.725,1,245.261,1788523486.4361367,16,b01-o01-spark-c16,8,False,20.376,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,218.349,54990af4-4596-41e5-a0eb-1abd3de8a5d8,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.190876,514.04,222.823,1
259.275,1,264.89,1788523486.4574459,16,b01-o01-spark-c16,8,False,20.778,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,238.497,e7cb0b48-efdf-41ea-b15d-66c9bc04703b,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.1925588,511.869,242.792,1
280.326,1,285.301,1788523486.4793408,16,b01-o01-spark-c16,8,False,21.093,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,259.233,500b5bdd-27f1-4ced-8490-ffac5db3a616,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.1940424,492.429,264.012,1
302.158,1,308.867,1788523486.5008209,16,b01-o01-spark-c16,8,False,21.676,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,280.482,75032a14-cb6f-40d2-989b-47520ab454e7,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.1919577,499.75,285.351,1
322.873,1,328.13,1788523486.5212657,16,b01-o01-spark-c16,8,False,20.812,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,302.06,97f35dc9-493d-4847-9c9c-7aaab05ae2d8,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.1931374,498.101,306.167,1
330.462,1,332.661,1788523486.5418854,16,b01-o01-spark-c16,8,False,20.481,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,309.981,26ba5795-786f-48eb-984e-b436ec7eb3c9,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.209226,528.297,314.499,1
329.685,1,332.031,1788523486.5618289,16,b01-o01-spark-c16,8,False,19.797,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,309.887,2eef7b1a-c833-4ba9-a448-cc8d34a78f9c,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.2297997,539.884,313.942,1
330.804,1,333.522,1788523486.5831656,16,b01-o01-spark-c16,8,False,21.045,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,309.759,09fb46cd-9b69-4492-ac05-92555fb1b76d,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.249645,500.908,314.382,1
331.694,1,333.842,1788523486.6038883,16,b01-o01-spark-c16,8,False,20.564,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,311.13,3b6db9f1-6be5-4587-a1be-f3bb0cc319bc,Edge computing reduces latency by processing data closer,spark,1,18.0,ok,spark,1788523486.27005,520.596,315.659,1
