scenario,concurrency,requests,mean_latency_ms,p95_latency_ms,mean_ttft_ms,p95_ttft_ms,mean_tokens_per_second,throughput_requests_per_second,offloading_transitions,offloaded_requests,nano_requests,agx_requests,spark_requests
nano_only,1,1,637.705,637.705,275.553,275.553,22.242,1.5681118370777358,0,0,1,0,0
nano_only,2,2,691.288,857.3461000000001,343.1755,535.05955,23.478,2.2817402203455113,0,0,2,0,0
nano_only,4,4,1141.34375,1632.99425,789.0485,1290.26215,25.18025,2.3645537700384436,0,0,4,0,0
nano_only,8,8,2106.0465,3435.2765499999996,1697.00175,3060.4111999999996,21.406875,2.0214000337357527,0,0,8,0,0
nano_only,16,16,3384.932875,5654.142,3024.7866249999997,5324.98625,24.98425,2.3611409918817734,0,0,16,0,0
static_nano,1,1,536.649,536.649,138.365,138.365,20.256,1.8634112793519317,0,0,1,0,0
static_nano,2,2,726.4190000000001,905.2526,356.0145,551.3941499999999,21.727,2.158926997371025,0,0,2,0,0
static_nano,4,4,954.0227500000001,1429.9204499999998,625.10375,1107.27435,25.19075,2.562861789333243,0,0,4,0,0
static_nano,8,8,1577.12125,2587.0984,1242.934875,2251.6789999999996,25.42825,2.583948521914842,0,0,8,0,0
static_nano,16,16,3328.0509375,5717.2435000000005,2964.3445,5392.8975,25.1539375,2.302075415634386,0,0,16,0,0
static_agx,1,1,253.362,253.362,76.713,76.713,46.011,3.94691529615246,0,1,0,1,0
static_agx,2,2,303.756,394.3887,128.419,218.39559999999997,45.9195,4.935529174759081,0,2,0,2,0
static_agx,4,4,498.188,718.8983499999999,317.9525,541.4407999999999,44.92225,4.689198491940535,0,4,0,4,0
static_agx,8,8,738.805375,1287.9447499999999,562.8765,1114.24445,45.91775,4.938146951615789,0,8,0,8,0
static_agx,16,16,1323.30025,2300.497,1147.042375,2127.7917500000003,45.8010625,4.9296022373177575,0,16,0,16,0
static_spark,1,1,268.687,268.687,91.02,91.02,45.974,3.721786043870235,0,1,0,0,1
static_spark,2,2,301.61249999999995,385.15815,124.297,207.1051,45.9825,4.823672694862138,0,2,0,0,2
static_spark,4,4,520.006,798.8812999999999,342.20975,621.52275,45.91125,4.794461506630915,0,4,0,0,4
static_spark,8,8,755.78125,1227.3115,577.529625,1049.3351,45.936749999999996,4.809558333025161,0,8,0,0,8
static_spark,16,16,1286.161875,2413.84675,1105.2934375,2235.73575,45.9220625,4.785081871491388,0,16,0,0,16
dynamic,1,2,482.385,545.0340000000001,93.92949999999999,122.18724999999999,21.0365,1.9318859210545103,0,0,2,0,0
dynamic,2,4,343.03925,422.15845,167.15075000000002,250.44724999999997,46.0775,4.790598133184166,0,4,0,4,0
dynamic,4,8,618.739125,764.0608,441.897625,591.09575,45.66875,4.90604046078815,0,8,0,8,0
dynamic,8,16,1198.7353125,1586.5815000000002,1021.8385,1412.5120000000002,45.7105625,4.864045700624697,0,16,0,16,0
dynamic,16,32,1777.742875,3197.39925,1601.36246875,3025.21345,45.90603125,6.280001669455018,1,32,0,25,7
