actual_node,completed_timestamp,dispatched_timestamp,identity_verified,latency_ms,model_digest,phase,ready_observed_at,request_id,response,scheduled_offset,selected_node,status,timestamp,tokens_per_second,ttft_ms
etri-dev0001-jetorn,1788764843.417259,1788764843.0063758,True,423.6626625061035,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788764842.6457093,1763e50ff634-0,Edge computing reduces latency by processing data closer,0.0,nano,ok,1788764842.9935966,30.238,104.91723583984376
etri-dev0001-jetorn,1788764844.3439176,1788764844.0483375,True,350.3222465515137,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788764843.7123966,1763e50ff634-1,Edge computing reduces latency by processing data closer,1.0,nano,ok,1788764843.9935966,39.274,136.19490576171876
etri-dev0001-jetorn,1788764845.2843935,1788764845.0021527,True,290.79747200012207,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788764844.7752743,1763e50ff634-2,Edge computing reduces latency by processing data closer,2.0,nano,ok,1788764844.9935966,39.114,78.38112754821778
etri-dev0001-jetorn,1788764846.330807,1788764846.0561006,True,337.21065521240234,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788764845.8260078,1763e50ff634-3,Edge computing reduces latency by processing data closer,3.0,nano,ok,1788764845.9935966,39.261,121.83805311584473
etri-dev0001-jetorn,1788764847.2958906,1788764847.0094206,True,302.2949695587158,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788764846.8770783,1763e50ff634-4,Edge computing reduces latency by processing data closer,4.0,nano,ok,1788764846.9935966,38.711,83.61707951354981
etri-dev0001-jetorn,1788764848.2799754,1788764847.9957857,True,286.3795757293701,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788764847.9272678,1763e50ff634-5,Edge computing reduces latency by processing data closer,5.0,nano,ok,1788764847.9935966,38.955,68.52515939331055
etri-dev0001-jetorn,1788764849.2807035,1788764848.9976575,True,287.1072292327881,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788764848.9792807,1763e50ff634-6,Edge computing reduces latency by processing data closer,6.0,nano,ok,1788764848.9935966,39.153,71.47598365783692
etri-dev0001-jetorn,1788764850.346883,1788764850.0699055,True,353.2872200012207,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788764849.5072114,1763e50ff634-7,Edge computing reduces latency by processing data closer,7.0,nano,ok,1788764849.9935966,39.192,138.1879656829834
etri-dev0001-jetorn,1788764851.322066,1788764851.0356126,True,328.47023010253906,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788764850.6248584,1763e50ff634-8,Edge computing reduces latency by processing data closer,8.0,nano,ok,1788764850.9935966,38.781,110.85402935791015
etri-dev0001-jetorn,1788764852.3084047,1788764852.0254736,True,314.80932235717773,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788764851.678146,1763e50ff634-9,Edge computing reduces latency by processing data closer,9.0,nano,ok,1788764851.9935966,39.191,96.4740408630371
etri-dev0001-jetorn,1788764853.2823093,1788764853.0153294,True,288.7129783630371,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764852.7379377,1763e50ff634-10,Edge computing reduces latency by processing data closer,10.0,nano,ok,1788764852.9935966,39.408,76.31780715942384
etri-dev0001-jetorn,1788764853.5272593,1788764853.0907102,True,450.3304958343506,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764852.7379377,1763e50ff634-11,Edge computing reduces latency by processing data closer,10.083333333333334,nano,ok,1788764853.0769298,40.481,237.35435545349122
etri-dev0001-jetorn,1788764853.7400513,1788764853.1732984,True,579.7886848449707,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764852.7379377,1763e50ff634-12,Edge computing reduces latency by processing data closer,10.166666666666666,nano,ok,1788764853.1602633,46.754,395.78405897521975
etri-dev0001-jetorn,1788764853.9354808,1788764853.2497046,True,691.8849945068359,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764852.7379377,1763e50ff634-13,Edge computing reduces latency by processing data closer,10.25,nano,ok,1788764853.2435966,49.659,515.583045578003
etri-dev0001-jetorn,1788764854.1302166,1788764853.3411324,True,803.2872676849365,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764853.2887645,1763e50ff634-14,Edge computing reduces latency by processing data closer,10.333333333333334,nano,ok,1788764853.3269298,49.692,632.97759475708
etri-dev0001-jetorn,1788764854.3275511,1788764853.4165602,True,917.2885417938232,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764853.2887645,1763e50ff634-15,Edge computing reduces latency by processing data closer,10.416666666666666,nano,ok,1788764853.4102633,49.643,746.8218730926513
etri-dev0001-jetorn,1788764854.5258515,1788764853.517632,True,1032.2558879852295,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764853.2887645,1763e50ff634-16,Edge computing reduces latency by processing data closer,10.5,nano,ok,1788764853.4935966,49.676,861.5774537963867
etri-dev0001-jetorn,1788764854.7210011,1788764853.5934944,True,1144.071340560913,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764853.2887645,1763e50ff634-17,Edge computing reduces latency by processing data closer,10.583333333333334,nano,ok,1788764853.5769298,49.68,972.0516076202392
etri-dev0001-jetorn,1788764854.91743,1788764853.668882,True,1257.166862487793,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764853.2887645,1763e50ff634-18,Edge computing reduces latency by processing data closer,10.666666666666666,nano,ok,1788764853.6602633,49.729,1084.5005932159424
etri-dev0001-jetorn,1788764855.113639,1788764853.7454858,True,1370.0430393218994,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764853.2887645,1763e50ff634-19,Edge computing reduces latency by processing data closer,10.75,nano,ok,1788764853.7435966,49.578,1199.4682288208007
etri-dev0001-jetorn,1788764855.31646,1788764853.8454792,True,1489.530086517334,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764853.821839,1763e50ff634-20,Edge computing reduces latency by processing data closer,10.833333333333334,nano,ok,1788764853.8269298,49.599,1311.5834422912599
etri-dev0001-jetorn,1788764855.508187,1788764853.9221601,True,1597.9256629943848,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764853.821839,1763e50ff634-21,Edge computing reduces latency by processing data closer,10.916666666666666,nano,ok,1788764853.9102633,49.797,1425.3028486785888
etri-dev0001-jetorn,1788764855.7048893,1788764853.998747,True,1711.2936973571777,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764853.821839,1763e50ff634-22,Edge computing reduces latency by processing data closer,11.0,nano,ok,1788764853.9935966,49.649,1539.270556564331
etri-dev0001-jetorn,1788764855.9010606,1788764854.097083,True,1824.131965637207,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764853.821839,1763e50ff634-23,Edge computing reduces latency by processing data closer,11.083333333333334,nano,ok,1788764854.0769298,49.847,1648.411284072876
etri-dev0001-jetorn,1788764856.0979054,1788764854.1729717,True,1937.6423358917236,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764853.821839,1763e50ff634-24,Edge computing reduces latency by processing data closer,11.166666666666666,nano,ok,1788764854.1602633,49.633,1766.1994255218506
etri-dev0001-jetorn,1788764856.2953737,1788764854.276859,True,2051.7780780792236,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764853.821839,1763e50ff634-25,Edge computing reduces latency by processing data closer,11.25,nano,ok,1788764854.2435966,49.432,1879.6114912261962
etri-dev0001-jetorn,1788764856.4931765,1788764854.3391705,True,2166.247606277466,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764853.821839,1763e50ff634-26,Edge computing reduces latency by processing data closer,11.333333333333334,nano,ok,1788764854.3269298,49.447,1993.6766482696532
etri-dev0001-jetorn,1788764856.6889133,1788764854.4146087,True,2278.6505222320557,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764854.3533561,1763e50ff634-27,Edge computing reduces latency by processing data closer,11.416666666666666,nano,ok,1788764854.4102633,49.95,2107.5294170227053
etri-dev0001-jetorn,1788764856.885371,1788764854.5163178,True,2391.774892807007,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764854.3533561,1763e50ff634-28,Edge computing reduces latency by processing data closer,11.5,nano,ok,1788764854.4935966,49.838,2219.561290588379
etri-dev0001-jetorn,1788764857.0817118,1788764854.5929155,True,2504.7824382781982,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,부하 집중,1788764854.3533561,1763e50ff634-29,Edge computing reduces latency by processing data closer,11.583333333333334,nano,ok,1788764854.5769298,49.693,2333.4137273101805
