actual_e2e_ms,block,client_latency_ms,completed_timestamp,concurrency,condition_id,error,eval_count,excluded,inference_ms,model,node_id,node_state,queue_wait_ms,request_id,response,role,run_order,stage_seconds,status,target_node,timestamp,tokens_per_second,ttft_ms,within_block_order
680.562,0,684.347,1788523197.89748,1,warmup,,8,True,680.555,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,0.007,437716fe-8757-4fef-be83-13f6d2f65427,Edge computing reduces latency by processing data closer,spark,0,,ok,spark,1788523197.2131336,11.938,7.808,
26.131,1,37.474,1788523197.9355626,4,b01-o01-spark-c4,,8,False,26.121,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,0.01,7a440b73-e29c-48de-8ba7-b9e8b67da9c1,Edge computing reduces latency by processing data closer,spark,1,12.0,ok,spark,1788523197.8980896,481.667,7.023,1
49.978,1,62.926,1788523197.9611995,4,b01-o01-spark-c4,,8,False,25.35,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,24.628,1301d7f3-8950-4e30-856b-d75744f7889f,Edge computing reduces latency by processing data closer,spark,1,12.0,ok,spark,1788523197.8982775,525.935,33.952,1
71.9,1,85.176,1788523197.9836524,4,b01-o01-spark-c4,,8,False,21.684,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,50.216,3b77fa42-405f-4423-b3ab-ddd646488088,Edge computing reduces latency by processing data closer,spark,1,12.0,ok,spark,1788523197.898481,540.066,55.933,1
93.85,1,106.97,1788523198.0057034,4,b01-o01-spark-c4,,8,False,22.166,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,71.685,34071332-6c35-49ae-bde1-6347731e745d,Edge computing reduces latency by processing data closer,spark,1,12.0,ok,spark,1788523197.8987384,542.999,78.243,1
83.891,1,89.536,1788523198.025119,4,b01-o01-spark-c4,,8,False,19.453,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,64.438,6da5ce18-5da9-4195-979d-cd0ec1575edd,Edge computing reduces latency by processing data closer,spark,1,12.0,ok,spark,1788523197.9355865,539.302,68.815,1
79.851,1,82.765,1788523198.0440493,4,b01-o01-spark-c4,,8,False,19.128,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,60.722,b9c8f6fc-fb35-4280-a057-d88ef9227ef5,Edge computing reduces latency by processing data closer,spark,1,12.0,ok,spark,1788523197.961287,540.321,64.823,1
75.534,1,79.693,1788523198.0634403,4,b01-o01-spark-c4,,8,False,19.515,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,56.019,d54db4b5-9bc7-4fd9-9775-0dc01f751ce5,Edge computing reduces latency by processing data closer,spark,1,12.0,ok,spark,1788523197.9837499,539.629,60.272,1
73.93,1,76.567,1788523198.082372,4,b01-o01-spark-c4,,8,False,18.907,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,55.022,244a9083-875e-446f-8e6f-6ff4af986ff5,Edge computing reduces latency by processing data closer,spark,1,12.0,ok,spark,1788523198.0058064,545.219,58.725,1
75.06,1,77.199,1788523198.1024053,4,b01-o01-spark-c4,,8,False,19.719,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,55.34,385df1aa-ba67-48b9-9942-d145711881ed,Edge computing reduces latency by processing data closer,spark,1,12.0,ok,spark,1788523198.0252082,545.703,60.035,1
75.625,1,77.376,1788523198.1214912,4,b01-o01-spark-c4,,8,False,19.016,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,56.609,e2642c78-1236-4f64-8d03-aeb7e65462e7,Edge computing reduces latency by processing data closer,spark,1,12.0,ok,spark,1788523198.0441177,542.042,60.698,1
75.522,1,77.392,1788523198.1408763,4,b01-o01-spark-c4,,8,False,19.095,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,56.427,2fd31d62-6201-4d01-9d4a-27259f6825b3,Edge computing reduces latency by processing data closer,spark,1,12.0,ok,spark,1788523198.0634885,546.56,60.458,1
76.092,1,78.016,1788523198.1604156,4,b01-o01-spark-c4,,8,False,19.314,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,56.777,a8315015-c431-40dc-982c-ee00c761041b,Edge computing reduces latency by processing data closer,spark,1,12.0,ok,spark,1788523198.0824068,543.848,61.16,1
74.921,1,77.372,1788523198.179838,4,b01-o01-spark-c4,,8,False,19.428,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,55.493,f71c3a9a-e26b-4951-9a04-c52e65ecbbc4,Edge computing reduces latency by processing data closer,spark,1,12.0,ok,spark,1788523198.1024706,536.589,59.703,1
75.075,1,77.147,1788523198.1987042,4,b01-o01-spark-c4,,8,False,19.053,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,56.022,63b6b984-ac03-4af8-8b0e-205395e201a5,Edge computing reduces latency by processing data closer,spark,1,12.0,ok,spark,1788523198.1215606,545.033,60.125,1
75.723,1,77.861,1788523198.2188532,4,b01-o01-spark-c4,,8,False,19.937,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,55.787,f89aa231-258b-4c0e-b29e-502f558d57ad,Edge computing reduces latency by processing data closer,spark,1,12.0,ok,spark,1788523198.1409948,544.07,60.674,1
76.187,1,78.337,1788523198.238862,4,b01-o01-spark-c4,,8,False,20.026,llama3.2:1b,etri-ser0002-cgnmsb,ACTIVE,56.161,dd1ad4dd-846a-4d79-bc0b-64299d0fa450,Edge computing reduces latency by processing data closer,spark,1,12.0,ok,spark,1788523198.160528,542.741,60.951,1
