block,concurrency,condition_id,run_order,target_node,within_block_order
1,4,b01-o01-spark-c4,1,spark,1
1,32,b01-o02-spark-c32,2,spark,2
1,16,b01-o03-spark-c16,3,spark,3
1,8,b01-o04-spark-c8,4,spark,4
1,2,b01-o05-spark-c2,5,spark,5
1,1,b01-o06-spark-c1,6,spark,6
2,4,b02-o01-spark-c4,7,spark,1
2,16,b02-o02-spark-c16,8,spark,2
2,1,b02-o03-spark-c1,9,spark,3
2,32,b02-o04-spark-c32,10,spark,4
2,8,b02-o05-spark-c8,11,spark,5
2,2,b02-o06-spark-c2,12,spark,6
3,1,b03-o01-spark-c1,13,spark,1
3,2,b03-o02-spark-c2,14,spark,2
3,16,b03-o03-spark-c16,15,spark,3
3,8,b03-o04-spark-c8,16,spark,4
3,4,b03-o05-spark-c4,17,spark,5
3,32,b03-o06-spark-c32,18,spark,6
