activation_required,activation_started_timestamp,activation_time_ms,cuda_initialization_ms,deactivation_required,deactivation_started_timestamp,deactivation_time_ms,deactivation_timestamp,details,endpoint_ready_ms,event,experiment,method,model_delete_ms,model_digest,model_load_ms,model_remote_download_ms,model_unload_ms,new_state,node,node_state,node_state_before,old_state,phase,physical_node,ready_timestamp,reason,source,timestamp,worker_lifecycle_note,worker_start_ms,worker_stop_ms
,,,,,,,,"{""actions"": [{""activation_required"": true, ""activation_started_timestamp"": 1788492765.4992259, ""activation_time_ms"": 260.74, ""cuda_initialization_ms"": null, ""endpoint_ready_ms"": 260.737, ""model_digest"": ""baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878"", ""model_load_ms"": 247.719, ""model_remote_download_ms"": 0.0, ""node"": ""nano"", ""node_state"": ""ACTIVE"", ""node_state_before"": ""COLD"", ""ready_timestamp"": 1788492765.7595692, ""transition"": {""new_state"": ""ACTIVE"", ""node"": ""nano"", ""old_state"": ""COLD"", ""physical_node"": ""etri-dev0001-jetorn"", ""reason"": ""method_setup:cached_on_demand"", ""timestamp"": 1788492765.7595828}, ""worker_start_ms"": 2.037}, {""activation_required"": false, ""node"": ""agx"", ""node_state"": ""CACHED"", ""node_state_before"": ""CACHED""}, {""activation_required"": false, ""node"": ""spark"", ""node_state"": ""CACHED"", ""node_state_before"": ""CACHED""}], ""duration_ms"": 100.048, ""event"": ""method_configured"", ""method"": ""cached_on_demand"", ""started_timestamp"": 1788492773.6141543, ""states"": {""agx"": ""CACHED"", ""nano"": ""ACTIVE"", ""spark"": ""CACHED""}, ""timestamp"": 1788492773.7142015}",,method_setup,idle,cached_on_demand,,,,,,,,,,,setup,,,,,1788492773.602716,,,
,,,,,,,,"{""actions"": [{""activation_required"": true, ""activation_started_timestamp"": 1788492765.4992259, ""activation_time_ms"": 260.74, ""cuda_initialization_ms"": null, ""endpoint_ready_ms"": 260.737, ""model_digest"": ""baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878"", ""model_load_ms"": 247.719, ""model_remote_download_ms"": 0.0, ""node"": ""nano"", ""node_state"": ""ACTIVE"", ""node_state_before"": ""COLD"", ""ready_timestamp"": 1788492765.7595692, ""transition"": {""new_state"": ""ACTIVE"", ""node"": ""nano"", ""old_state"": ""COLD"", ""physical_node"": ""etri-dev0001-jetorn"", ""reason"": ""method_setup:cached_on_demand"", ""timestamp"": 1788492765.7595828}, ""worker_start_ms"": 2.037}, {""activation_required"": false, ""node"": ""agx"", ""node_state"": ""CACHED"", ""node_state_before"": ""CACHED""}, {""activation_required"": false, ""node"": ""spark"", ""node_state"": ""CACHED"", ""node_state_before"": ""CACHED""}], ""duration_ms"": 80.323, ""event"": ""method_configured"", ""method"": ""cached_on_demand"", ""started_timestamp"": 1788493073.7535577, ""states"": {""agx"": ""CACHED"", ""nano"": ""ACTIVE"", ""spark"": ""CACHED""}, ""timestamp"": 1788493073.8338804}",,method_setup,single,cached_on_demand,,,,,,,,,,,setup,,,,,1788493073.7530675,,,
,,,,,,,,"{""actions"": [{""activation_required"": true, ""activation_started_timestamp"": 1788492765.4992259, ""activation_time_ms"": 260.74, ""cuda_initialization_ms"": null, ""endpoint_ready_ms"": 260.737, ""model_digest"": ""baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878"", ""model_load_ms"": 247.719, ""model_remote_download_ms"": 0.0, ""node"": ""nano"", ""node_state"": ""ACTIVE"", ""node_state_before"": ""COLD"", ""ready_timestamp"": 1788492765.7595692, ""transition"": {""new_state"": ""ACTIVE"", ""node"": ""nano"", ""old_state"": ""COLD"", ""physical_node"": ""etri-dev0001-jetorn"", ""reason"": ""method_setup:cached_on_demand"", ""timestamp"": 1788492765.7595828}, ""worker_start_ms"": 2.037}, {""activation_required"": false, ""node"": ""agx"", ""node_state"": ""CACHED"", ""node_state_before"": ""CACHED""}, {""activation_required"": false, ""node"": ""spark"", ""node_state"": ""CACHED"", ""node_state_before"": ""CACHED""}], ""duration_ms"": 86.23, ""event"": ""method_configured"", ""method"": ""cached_on_demand"", ""started_timestamp"": 1788493074.8064585, ""states"": {""agx"": ""CACHED"", ""nano"": ""ACTIVE"", ""spark"": ""CACHED""}, ""timestamp"": 1788493074.8926878}",,method_setup,activation_agx,cached_on_demand,,,,,,,,,,,setup,,,,,1788493074.8059597,,,
True,1788493075.0079696,1187.222,,,,,,,1187.22,activation,activation_agx,cached_on_demand,,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,1181.609,0.0,,,agx,ACTIVE,CACHED,,workload,etri-ser0001-cg0msb,1788493076.1951458,policy:static:agx,activations,1788493076.195543,,1.092,
,,,,,,,,,,,activation_agx,cached_on_demand,,,,,,ACTIVE,agx,,,CACHED,,etri-ser0001-cg0msb,,policy:static:agx,state-transitions,1788493076.1951513,,,
,,,,,,,,"{""actions"": [{""activation_required"": true, ""activation_started_timestamp"": 1788492765.4992259, ""activation_time_ms"": 260.74, ""cuda_initialization_ms"": null, ""endpoint_ready_ms"": 260.737, ""model_digest"": ""baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878"", ""model_load_ms"": 247.719, ""model_remote_download_ms"": 0.0, ""node"": ""nano"", ""node_state"": ""ACTIVE"", ""node_state_before"": ""COLD"", ""ready_timestamp"": 1788492765.7595692, ""transition"": {""new_state"": ""ACTIVE"", ""node"": ""nano"", ""old_state"": ""COLD"", ""physical_node"": ""etri-dev0001-jetorn"", ""reason"": ""method_setup:cached_on_demand"", ""timestamp"": 1788492765.7595828}, ""worker_start_ms"": 2.037}, {""activation_required"": true, ""activation_started_timestamp"": 1788493076.4881685, ""activation_time_ms"": 56.638, ""cuda_initialization_ms"": null, ""endpoint_ready_ms"": 0.0, ""model_digest"": ""baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878"", ""model_load_ms"": 0.0, ""model_remote_download_ms"": 0.0, ""node"": ""agx"", ""node_state"": ""CACHED"", ""node_state_before"": ""ACTIVE"", ""ready_timestamp"": null, ""transition"": {""new_state"": ""CACHED"", ""node"": ""agx"", ""old_state"": ""ACTIVE"", ""physical_node"": ""etri-ser0001-cg0msb"", ""reason"": ""method_setup:cached_on_demand:cache_prime"", ""timestamp"": 1788493076.5447829}, ""worker_lifecycle_note"": ""Ollama management daemon remains resident; inference runner is unloaded"", ""worker_start_ms"": 0.343, ""worker_stop_ms"": 54.819}, {""activation_required"": false, ""node"": ""spark"", ""node_state"": ""CACHED"", ""node_state_before"": ""CACHED""}], ""duration_ms"": 158.067, ""event"": ""method_configured"", ""method"": ""cached_on_demand"", ""started_timestamp"": 1788493076.480117, ""states"": {""agx"": ""CACHED"", ""nano"": ""ACTIVE"", ""spark"": ""CACHED""}, ""timestamp"": 1788493076.638183}",,method_setup,activation_spark,cached_on_demand,,,,,,,,,,,setup,,,,,1788493076.4795828,,,
True,1788493076.8019419,1187.079,,,,,,,1187.078,activation,activation_spark,cached_on_demand,,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,1182.687,0.0,,,spark,ACTIVE,CACHED,,workload,etri-ser0002-cgnmsb,1788493077.988979,policy:static:spark,activations,1788493077.9824412,,0.38,
,,,,,,,,,,,activation_spark,cached_on_demand,,,,,,ACTIVE,spark,,,CACHED,,etri-ser0002-cgnmsb,,policy:static:spark,state-transitions,1788493077.988984,,,
,,,,,,,,"{""actions"": [{""activation_required"": true, ""activation_started_timestamp"": 1788492765.4992259, ""activation_time_ms"": 260.74, ""cuda_initialization_ms"": null, ""endpoint_ready_ms"": 260.737, ""model_digest"": ""baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878"", ""model_load_ms"": 247.719, ""model_remote_download_ms"": 0.0, ""node"": ""nano"", ""node_state"": ""ACTIVE"", ""node_state_before"": ""COLD"", ""ready_timestamp"": 1788492765.7595692, ""transition"": {""new_state"": ""ACTIVE"", ""node"": ""nano"", ""old_state"": ""COLD"", ""physical_node"": ""etri-dev0001-jetorn"", ""reason"": ""method_setup:cached_on_demand"", ""timestamp"": 1788492765.7595828}, ""worker_start_ms"": 2.037}, {""activation_required"": false, ""node"": ""agx"", ""node_state"": ""CACHED"", ""node_state_before"": ""CACHED""}, {""activation_required"": true, ""activation_started_timestamp"": 1788493078.311295, ""activation_time_ms"": 35.06, ""cuda_initialization_ms"": null, ""endpoint_ready_ms"": 0.0, ""model_digest"": ""baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878"", ""model_load_ms"": 0.0, ""model_remote_download_ms"": 0.0, ""node"": ""spark"", ""node_state"": ""CACHED"", ""node_state_before"": ""ACTIVE"", ""ready_timestamp"": null, ""transition"": {""new_state"": ""CACHED"", ""node"": ""spark"", ""old_state"": ""ACTIVE"", ""physical_node"": ""etri-ser0002-cgnmsb"", ""reason"": ""method_setup:cached_on_demand:cache_prime"", ""timestamp"": 1788493078.3463333}, ""worker_lifecycle_note"": ""Ollama management daemon remains resident; inference runner is unloaded"", ""worker_start_ms"": 0.797, ""worker_stop_ms"": 31.485}], ""duration_ms"": 100.19, ""event"": ""method_configured"", ""method"": ""cached_on_demand"", ""started_timestamp"": 1788493078.2866027, ""states"": {""agx"": ""CACHED"", ""nano"": ""ACTIVE"", ""spark"": ""CACHED""}, ""timestamp"": 1788493078.3867922}",,method_setup,increasing,cached_on_demand,,,,,,,,,,,setup,,,,,1788493078.2860155,,,
True,1788493127.9061923,1249.991,,,,,,,1249.989,activation,increasing,cached_on_demand,,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,1242.822,0.0,,,agx,ACTIVE,CACHED,,workload,etri-ser0001-cg0msb,1788493129.1561425,offload:nano->agx:predicted_improvement=0.412,activations,1788493129.1565022,,1.677,
