block,concurrency,condition_id,run_order,target_node,within_block_order
1,4,b01-o01-agx-c4,1,agx,1
1,32,b01-o02-agx-c32,2,agx,2
1,16,b01-o03-agx-c16,3,agx,3
1,8,b01-o04-agx-c8,4,agx,4
1,2,b01-o05-agx-c2,5,agx,5
1,1,b01-o06-agx-c1,6,agx,6
2,4,b02-o01-agx-c4,7,agx,1
2,16,b02-o02-agx-c16,8,agx,2
2,1,b02-o03-agx-c1,9,agx,3
2,32,b02-o04-agx-c32,10,agx,4
2,8,b02-o05-agx-c8,11,agx,5
2,2,b02-o06-agx-c2,12,agx,6
3,1,b03-o01-agx-c1,13,agx,1
3,2,b03-o02-agx-c2,14,agx,2
3,16,b03-o03-agx-c16,15,agx,3
3,8,b03-o04-agx-c8,16,agx,4
3,4,b03-o05-agx-c4,17,agx,5
3,32,b03-o06-agx-c32,18,agx,6
