node,model,case,requests,success,failures,blocks,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,p95_ttft_ms,median_decode_tokens_s,active_wave_requests_s,active_wave_output_tokens_s
nano,llama3.2:1b-instruct-q8_0,i128-o64-c1,3,3,0,3,1673.6528970000109,1868.506933499475,1664.811166000618,1890.1573819994155,140.37384599946563,39.40238465733685,0.5696297186272982,36.45630199214708
nano,llama3.2:1b-instruct-q8_0,i2048-o128-c1,3,3,0,3,5041.9166419997055,5145.914908100349,5024.053875999925,5157.47027100042,1808.152146300381,38.088668621085226,0.19675456985738313,25.18458494174504
nano,llama3.2:1b-instruct-q8_0,i512-o128-c1,3,3,0,3,3583.7672510006087,3672.266280500662,3434.45431300006,3682.099506000668,414.75260130055176,39.772214817561405,0.2802346468790477,35.870034800518106
nano,llama3.2:1b-instruct-q8_0,i512-o128-c2,6,6,0,3,5247.99620649992,7050.705943750472,3432.574548000048,7056.854193000618,3920.1894097507193,40.35332407252271,0.286252225007834,36.64028480100275
nano,llama3.2:1b-instruct-q8_0,i512-o128-c4,12,12,0,3,8604.411513500054,13763.376084399852,3420.885548000115,13802.036283999769,10627.199195799698,40.579446034022055,0.29148576136072424,37.3101774541727
nano,llama3.2:1b-instruct-q8_0,i512-o128-c8,24,24,0,3,15445.14149700035,27430.519162399967,3443.198172999928,27489.79849099942,24277.39576694996,40.599004885640596,0.29181059172075813,37.35175574025704
nano,llama3.2:1b-instruct-q8_0,i512-o256-c1,3,3,0,3,6625.46309299978,6699.377170700609,6584.576605000166,6707.589846000701,389.9739831005718,40.486562747980194,0.15059938267345754,38.55344196440513
nano,llama3.2:3b-instruct-q8_0,i128-o64-c1,3,3,0,3,4012.515025000539,4246.624736799549,4008.61647200054,4272.636926999439,314.53675679995285,16.407745497636505,0.24308563076265052,15.557480368809633
nano,llama3.2:3b-instruct-q8_0,i2048-o128-c1,3,3,0,3,11864.915901999666,11891.010182499576,11735.179155999504,11893.909546999566,3674.227940199853,15.467685568990385,0.08445693342173709,10.810487477982347
nano,llama3.2:3b-instruct-q8_0,i512-o128-c1,3,3,0,3,8583.783273000336,8610.935988600068,8556.146375000026,8613.952957000038,825.9140894000666,16.361747676857288,0.11646536412193234,14.90756660760734
nano,llama3.2:3b-instruct-q8_0,i512-o128-c2,6,6,0,3,12807.149734000177,17032.185647250117,8577.543981999952,17033.385265000106,9284.03913125021,16.391034154277428,0.11746786924869315,15.035887263832723
nano,llama3.2:3b-instruct-q8_0,i512-o128-c4,12,12,0,3,21168.055143999936,33883.522247200104,8428.338800999882,33898.38839300046,26130.34242994995,16.395158325625403,0.11824523622210707,15.135390236429705
nano,llama3.2:3b-instruct-q8_0,i512-o128-c8,24,24,0,3,38002.672775000065,67562.79738250042,8428.27244199998,67618.03802899976,59816.67874230015,16.389523597269786,0.11842976631909774,15.15901008884451
nano,llama3.2:3b-instruct-q8_0,i512-o256-c1,3,3,0,3,16358.096868000757,16363.178484900163,16348.333752000144,16363.743109000097,815.3980629002945,16.40152265304341,0.06113237104358492,15.649886987157739
