## 9. 전체 126개 조건 결과

- 시간 단위: 초 / 처리량: 출력 토큰/s
- 조건 표기: 입력 토큰 → 출력 토큰 / 한꺼번에 보내는 요청 수
- 중앙값·표본 p95: 대기 포함 / 표본 수: 같은 세션의 세 회차 합계
- p95는 작은 표본의 기술통계; 운영 보장값으로 해석 불가

### Orin Nano

| 모델 | 입력→출력 | 요청 수 | 표본 수 | 응답 중앙값 | 응답 p95 | 첫 응답 p95 | 출력 토큰/s |
|---|---|---:|---:|---:|---:|---:|---:|
| Qwen 2.5 0.5B | 512→128 | 1 | 3 | 1.878 | 1.885 | 0.271 | 70.084 |
| Qwen 2.5 0.5B | 512→128 | 2 | 6 | 2.641 | 3.541 | 2.051 | 73.347 |
| Qwen 2.5 0.5B | 512→128 | 4 | 12 | 4.254 | 6.856 | 5.352 | 75.465 |
| Qwen 2.5 0.5B | 512→128 | 8 | 24 | 7.764 | 13.579 | 12.104 | 75.270 |
| Qwen 2.5 0.5B | 128→64 | 1 | 3 | 0.828 | 1.052 | 0.089 | 69.520 |
| Qwen 2.5 0.5B | 2048→128 | 1 | 3 | 2.731 | 2.880 | 1.269 | 46.130 |
| Qwen 2.5 0.5B | 512→256 | 1 | 3 | 3.274 | 3.338 | 0.299 | 77.940 |
| Llama 3.2 1B | 512→128 | 1 | 3 | 3.584 | 3.672 | 0.415 | 35.870 |
| Llama 3.2 1B | 512→128 | 2 | 6 | 5.248 | 7.051 | 3.920 | 36.640 |
| Llama 3.2 1B | 512→128 | 4 | 12 | 8.604 | 13.763 | 10.627 | 37.310 |
| Llama 3.2 1B | 512→128 | 8 | 24 | 15.445 | 27.431 | 24.277 | 37.352 |
| Llama 3.2 1B | 128→64 | 1 | 3 | 1.674 | 1.869 | 0.140 | 36.456 |
| Llama 3.2 1B | 2048→128 | 1 | 3 | 5.042 | 5.146 | 1.808 | 25.185 |
| Llama 3.2 1B | 512→256 | 1 | 3 | 6.625 | 6.699 | 0.390 | 38.553 |
| Qwen 2.5 1.5B | 512→128 | 1 | 3 | 5.219 | 5.223 | 0.532 | 24.815 |
| Qwen 2.5 1.5B | 512→128 | 2 | 6 | 7.627 | 10.185 | 5.565 | 25.205 |
| Qwen 2.5 1.5B | 512→128 | 4 | 12 | 12.621 | 20.158 | 15.534 | 25.427 |
| Qwen 2.5 1.5B | 512→128 | 8 | 24 | 22.683 | 40.182 | 35.554 | 25.458 |
| Qwen 2.5 1.5B | 128→64 | 1 | 3 | 2.509 | 2.609 | 0.185 | 25.329 |
| Qwen 2.5 1.5B | 2048→128 | 1 | 3 | 6.830 | 6.891 | 2.065 | 18.721 |
| Qwen 2.5 1.5B | 512→256 | 1 | 3 | 9.855 | 9.860 | 0.518 | 26.109 |
| Gemma 2 2B | 512→128 | 1 | 3 | 8.660 | 8.724 | 1.361 | 14.882 |
| Gemma 2 2B | 512→128 | 2 | 6 | 12.751 | 17.024 | 9.773 | 15.098 |
| Gemma 2 2B | 512→128 | 4 | 12 | 21.019 | 33.607 | 26.346 | 15.262 |
| Gemma 2 2B | 512→128 | 8 | 24 | 37.814 | 67.109 | 59.851 | 15.261 |
| Gemma 2 2B | 128→64 | 1 | 3 | 4.043 | 4.304 | 0.589 | 15.338 |
| Gemma 2 2B | 2048→128 | 1 | 3 | 10.648 | 10.789 | 3.198 | 11.965 |
| Gemma 2 2B | 512→256 | 1 | 3 | 15.959 | 15.965 | 1.296 | 16.120 |
| Qwen 2.5 3B | 512→128 | 1 | 3 | 7.852 | 7.891 | 0.809 | 16.270 |
| Qwen 2.5 3B | 512→128 | 2 | 6 | 11.730 | 15.588 | 8.557 | 16.424 |
| Qwen 2.5 3B | 512→128 | 4 | 12 | 19.409 | 30.987 | 23.962 | 16.529 |
| Qwen 2.5 3B | 512→128 | 8 | 24 | 34.804 | 61.800 | 54.762 | 16.562 |
| Qwen 2.5 3B | 128→64 | 1 | 3 | 3.774 | 3.875 | 0.259 | 16.871 |
| Qwen 2.5 3B | 2048→128 | 1 | 3 | 10.845 | 10.870 | 3.492 | 11.790 |
| Qwen 2.5 3B | 512→256 | 1 | 3 | 14.930 | 14.966 | 0.823 | 17.138 |
| Llama 3.2 3B | 512→128 | 1 | 3 | 8.584 | 8.611 | 0.826 | 14.908 |
| Llama 3.2 3B | 512→128 | 2 | 6 | 12.807 | 17.032 | 9.284 | 15.036 |
| Llama 3.2 3B | 512→128 | 4 | 12 | 21.168 | 33.884 | 26.130 | 15.135 |
| Llama 3.2 3B | 512→128 | 8 | 24 | 38.003 | 67.563 | 59.817 | 15.159 |
| Llama 3.2 3B | 128→64 | 1 | 3 | 4.013 | 4.247 | 0.315 | 15.557 |
| Llama 3.2 3B | 2048→128 | 1 | 3 | 11.865 | 11.891 | 3.674 | 10.810 |
| Llama 3.2 3B | 512→256 | 1 | 3 | 16.358 | 16.363 | 0.815 | 15.650 |

### AGX Orin

| 모델 | 입력→출력 | 요청 수 | 표본 수 | 응답 중앙값 | 응답 p95 | 첫 응답 p95 | 출력 토큰/s |
|---|---|---:|---:|---:|---:|---:|---:|
| Qwen 2.5 0.5B | 512→128 | 1 | 3 | 1.177 | 1.183 | 0.140 | 108.788 |
| Qwen 2.5 0.5B | 512→128 | 2 | 6 | 1.771 | 2.358 | 1.326 | 108.565 |
| Qwen 2.5 0.5B | 512→128 | 4 | 12 | 2.958 | 4.717 | 3.680 | 108.558 |
| Qwen 2.5 0.5B | 512→128 | 8 | 24 | 5.331 | 9.454 | 8.410 | 108.242 |
| Qwen 2.5 0.5B | 128→64 | 1 | 3 | 0.572 | 0.573 | 0.037 | 109.454 |
