series,method,concurrency,p95_latency_ms,p95_ttft_ms,throughput_requests_per_second
Always-On,always_on,1,543.3839499999999,95.96669999999999,2.1221642254671482
Always-On,always_on,2,1088.4175999999977,458.49959999999976,2.3411845135543685
Always-On,always_on,4,1653.1104499999997,1087.3564999999994,4.713160488569331
Always-On,always_on,8,1667.0754000000002,1418.4724500000002,4.8097811518980835
Always-On,always_on,16,3335.8842,3097.9163,4.793934381941037
Always-On,always_on,32,6627.7045499999995,6371.4519,4.830493083628738
Cached On-Demand,cached_on_demand,1,570.8951,113.56944999999999,2.0953555600066007
Cached On-Demand,cached_on_demand,2,1141.8435,541.6545,2.3191168654712975
Cached On-Demand,cached_on_demand,4,1691.8757,1200.0336,2.4694151628234295
Cached On-Demand,cached_on_demand,8,3391.55325,2082.117199999999,4.501244207473355
Cached On-Demand,cached_on_demand,16,3314.69925,3067.2167499999996,5.300490325375131
Cached On-Demand,cached_on_demand,32,6610.80165,6363.6663,4.83641238266264
Cold On-Demand,cold_on_demand,1,562.96985,106.75214999999996,2.1180486347357936
Cold On-Demand,cold_on_demand,2,1321.587599999998,803.6244999999981,2.206175789404165
Cold On-Demand,cold_on_demand,4,2050.8182,1538.5916,2.266757339347122
Cold On-Demand,cold_on_demand,8,3581.1666,3121.2329,2.385829426314047
Cold On-Demand,cold_on_demand,16,7839.9465,7186.18775,2.142217051712943
Cold On-Demand,cold_on_demand,32,14121.0184,13077.1162,2.3442878130676683
Nano-only,always_on,1,519.8484,91.47639999999997,2.1792327349235396
Nano-only,always_on,2,1124.47525,591.0625,2.326138924995745
Nano-only,always_on,4,2065.9087,1627.20095,2.265417204207999
Nano-only,always_on,8,3847.43275,3398.31255,2.332162455906753
Nano-only,always_on,16,8550.481,8067.97775,2.210322455780745
Nano-only,always_on,32,14094.25165,12300.574399999998,2.387271490411609
