actual_input_tokens,actual_output_tokens,cache_prompt,case,completed_at,concurrency,decode_tokens_per_second,fallback,first_at,generator_delay_ms,ignore_eos,input_tokens,input_tokens_requested,latency_ms,offered_rps,output_tokens_requested,partial_response,pattern,phase,planned_at,pure_network_ms,reason,request_id,requester,retry,run_id,selected_node,sent_at,server_timings,status,stop_type,target_output_tokens,tokens_cached,ttft_ms,zero_prefix_reuse_verified
512,128,False,i512-o128-c1,1788845479.4956627,1,464.04560070154923,False,1788845479.2215557,3.1833648681640625,True,512,512,298.0389790609479,,128,True,wave,measure,1788845479.1944406,,,i512-o128-c1-0,etri-ser0002-CGNMSB,False,sweep-rtx5080-c,etri-ser0002-cgnmsb,1788845479.197624,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 22.811, 'prompt_per_token_ms': 0.044552734375, 'prompt_per_second': 22445.31147253518, 'predicted_n': 128, 'predicted_ms': 273.68, 'predicted_per_token_ms': 2.15496062992126, 'predicted_per_second': 464.04560070154923}",ok,limit,128,639,23.931829957291484,True
512,128,False,i512-o128-c2,1788845479.7929661,2,467.33270776986626,False,1788845479.521278,0.7333755493164062,True,512,512,296.1792529094964,,128,True,wave,measure,1788845479.4960532,,,i512-o128-c2-1,etri-ser0002-CGNMSB,False,sweep-rtx5080-c,etri-ser0002-cgnmsb,1788845479.4967866,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 22.729, 'prompt_per_token_ms': 0.044392578125, 'prompt_per_second': 22526.28800211184, 'predicted_n': 128, 'predicted_ms': 271.755, 'predicted_per_token_ms': 2.139803149606299, 'predicted_per_second': 467.33270776986626}",ok,limit,128,639,24.4923559948802,True
512,128,False,i512-o128-c2,1788845480.089394,2,464.457992151757,False,1788845479.8157396,0.15735626220703125,True,512,512,593.1827810127288,,128,True,wave,measure,1788845479.4960532,,,i512-o128-c2-0,etri-ser0002-CGNMSB,False,sweep-rtx5080-c,etri-ser0002-cgnmsb,1788845479.4962106,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 22.965, 'prompt_per_token_ms': 0.044853515625, 'prompt_per_second': 22294.79642934901, 'predicted_n': 128, 'predicted_ms': 273.437, 'predicted_per_token_ms': 2.153047244094488, 'predicted_per_second': 464.457992151757}",ok,limit,128,639,319.52843395993114,True
512,128,False,i512-o128-c4,1788845480.3871746,4,465.984934376846,False,1788845480.1144943,0.7495880126953125,True,512,512,296.4083910919726,,128,True,wave,measure,1788845480.0900166,,,i512-o128-c4-2,etri-ser0002-CGNMSB,False,sweep-rtx5080-c,etri-ser0002-cgnmsb,1788845480.0907662,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 22.639, 'prompt_per_token_ms': 0.044216796875, 'prompt_per_second': 22615.839922258052, 'predicted_n': 128, 'predicted_ms': 272.541, 'predicted_per_token_ms': 2.145992125984252, 'predicted_per_second': 465.984934376846}",ok,limit,128,639,23.72840791940689,True
512,128,False,i512-o128-c4,1788845480.6803124,4,470.08135738768016,False,1788845480.4097764,0.2689361572265625,True,512,512,590.0265250820667,,128,True,wave,measure,1788845480.0900166,,,i512-o128-c4-0,etri-ser0002-CGNMSB,False,sweep-rtx5080-c,etri-ser0002-cgnmsb,1788845480.0902855,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 22.338, 'prompt_per_token_ms': 0.04362890625, 'prompt_per_second': 22920.583758617602, 'predicted_n': 128, 'predicted_ms': 270.166, 'predicted_per_token_ms': 2.127291338582677, 'predicted_per_second': 470.08135738768016}",ok,limit,128,639,319.49070608243346,True
512,128,False,i512-o128-c4,1788845480.9727197,4,470.2832808739122,False,1788845480.7023609,0.4665851593017578,True,512,512,882.235764991492,,128,True,wave,measure,1788845480.0900166,,,i512-o128-c4-1,etri-ser0002-CGNMSB,False,sweep-rtx5080-c,etri-ser0002-cgnmsb,1788845480.0904832,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 22.432, 'prompt_per_token_ms': 0.0438125, 'prompt_per_second': 22824.53637660485, 'predicted_n': 128, 'predicted_ms': 270.05, 'predicted_per_token_ms': 2.1263779527559055, 'predicted_per_second': 470.2832808739122}",ok,limit,128,639,611.8771338369697,True
512,128,False,i512-o128-c4,1788845481.2667475,4,467.7613017760197,False,1788845480.9952347,1.0106563568115234,True,512,512,1175.7201959844679,,128,True,wave,measure,1788845480.0900166,,,i512-o128-c4-3,etri-ser0002-CGNMSB,False,sweep-rtx5080-c,etri-ser0002-cgnmsb,1788845480.0910273,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 22.551, 'prompt_per_token_ms': 0.044044921875, 'prompt_per_second': 22704.092944880496, 'predicted_n': 128, 'predicted_ms': 271.506, 'predicted_per_token_ms': 2.137842519685039, 'predicted_per_second': 467.7613017760197}",ok,limit,128,639,904.2075530160218,True
512,128,False,i512-o128-c8,1788845481.5664797,8,460.8044121115364,False,1788845481.2906227,0.09942054748535156,True,512,512,298.957641934976,,128,True,wave,measure,1788845481.2674227,,,i512-o128-c8-0,etri-ser0002-CGNMSB,False,sweep-rtx5080-c,etri-ser0002-cgnmsb,1788845481.267522,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 22.421, 'prompt_per_token_ms': 0.043791015625, 'prompt_per_second': 22835.734356183937, 'predicted_n': 128, 'predicted_ms': 275.605, 'predicted_per_token_ms': 2.1701181102362206, 'predicted_per_second': 460.8044121115364}",ok,limit,128,639,23.100649006664753,True
512,128,False,i512-o128-c8,1788845481.8657653,8,459.95661196683966,False,1788845481.5893345,0.5121231079101562,True,512,512,597.8306659962982,,128,True,wave,measure,1788845481.2674227,,,i512-o128-c8-1,etri-ser0002-CGNMSB,False,sweep-rtx5080-c,etri-ser0002-cgnmsb,1788845481.2679348,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 22.748, 'prompt_per_token_ms': 0.0444296875, 'prompt_per_second': 22507.473184455775, 'predicted_n': 128, 'predicted_ms': 276.113, 'predicted_per_token_ms': 2.1741181102362206, 'predicted_per_second': 459.95661196683966}",ok,limit,128,639,321.40005519613624,True
512,128,False,i512-o128-c8,1788845482.164839,8,459.8317088360103,False,1788845481.888341,1.0209083557128906,True,512,512,896.3952118065208,,128,True,wave,measure,1788845481.2674227,,,i512-o128-c8-3,etri-ser0002-CGNMSB,False,sweep-rtx5080-c,etri-ser0002-cgnmsb,1788845481.2684436,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 22.677, 'prompt_per_token_ms': 0.044291015625, 'prompt_per_second': 22577.94240860784, 'predicted_n': 128, 'predicted_ms': 276.188, 'predicted_per_token_ms': 2.1747086614173226, 'predicted_per_second': 459.8317088360103}",ok,limit,128,639,619.8974498547614,True
