actual_input_tokens,actual_output_tokens,cache_prompt,completed_at,concurrency,decode_tokens_per_second,fallback,first_at,generator_delay_ms,ignore_eos,input_tokens_requested,latency_ms,matched_comparison,method,output_tokens_requested,partial_response,phase,planned_at,pure_network_ms,request_id,requester,retry,run_id,selected_node,sent_at,server_timings,status,stop_type,tokens_cached,ttft_ms
512,128,False,1788767718.8490016,1,40.18908489770138,False,1788767715.6883445,0.0040531158447265625,True,512,3597.811274928972,False,existing-active-runtime,128,True,warmup,1788767715.2511854,,prompt-0000,etri-dev0001-jetorn,False,nano-ramp-a,etri-dev0001-jetorn,1788767715.2511895,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 317.342, ""prompt_per_token_ms"": 0.61980859375, ""prompt_per_second"": 1613.4013146699776, ""predicted_n"": 128, ""predicted_ms"": 3160.062, ""predicted_per_token_ms"": 24.882377952755906, ""predicted_per_second"": 40.18908489770138}",ok,limit,639,437.1554860845208
512,128,False,1788767722.0627553,1,42.490775821343355,False,1788767719.0734453,0.0019073486328125,True,512,3213.4072459302843,False,existing-active-runtime,128,True,measure,1788767718.8493462,,prompt-0001,etri-dev0001-jetorn,False,nano-ramp-a,etri-dev0001-jetorn,1788767718.849348,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 214.179, ""prompt_per_token_ms"": 0.418318359375, ""prompt_per_second"": 2390.523814192801, ""predicted_n"": 128, ""predicted_ms"": 2988.884, ""predicted_per_token_ms"": 23.53451968503937, ""predicted_per_second"": 42.490775821343355}",ok,limit,639,224.09857693128288
512,128,False,1788767725.2809832,1,42.41583212682,False,1788767722.2863045,0.0019073486328125,True,512,3218.004460912198,False,existing-active-runtime,128,True,measure,1788767722.0629768,,prompt-0002,etri-dev0001-jetorn,False,nano-ramp-a,etri-dev0001-jetorn,1788767722.0629787,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 213.111, ""prompt_per_token_ms"": 0.416232421875, ""prompt_per_second"": 2402.5038594910634, ""predicted_n"": 128, ""predicted_ms"": 2994.165, ""predicted_per_token_ms"": 23.576102362204725, ""predicted_per_second"": 42.41583212682}",ok,limit,639,223.32726488821208
512,128,False,1788767728.5063171,1,42.44909200723707,False,1788767725.5139463,0.0021457672119140625,True,512,3225.118239875883,False,existing-active-runtime,128,True,measure,1788767725.281197,,prompt-0003,etri-dev0001-jetorn,False,nano-ramp-a,etri-dev0001-jetorn,1788767725.2811992,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 222.179, ""prompt_per_token_ms"": 0.433943359375, ""prompt_per_second"": 2304.448215177852, ""predicted_n"": 128, ""predicted_ms"": 2991.819, ""predicted_per_token_ms"": 23.557629921259842, ""predicted_per_second"": 42.44909200723707}",ok,limit,639,232.74851497262716
512,128,False,1788767731.7784083,2,42.51945516172793,False,1788767728.7908764,9.551763534545898,True,512,3210.7546150218695,False,existing-active-runtime,128,True,measure,1788767728.5581017,,c2-prompt-0000,etri-dev0001-jetorn,False,nano-ramp-a,etri-dev0001-jetorn,1788767728.5676534,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 213.313, ""prompt_per_token_ms"": 0.416626953125, ""prompt_per_second"": 2400.228771804813, ""predicted_n"": 128, ""predicted_ms"": 2986.868, ""predicted_per_token_ms"": 23.518645669291338, ""predicted_per_second"": 42.51945516172793}",ok,limit,639,223.223326029256
512,128,False,1788767734.9962616,2,42.50922232557579,False,1788767732.0075421,10.471820831298828,True,512,6427.688078023493,False,existing-active-runtime,128,True,measure,1788767728.5581017,,c2-prompt-0001,etri-dev0001-jetorn,False,nano-ramp-a,etri-dev0001-jetorn,1788767728.5685735,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 214.381, ""prompt_per_token_ms"": 0.418712890625, ""prompt_per_second"": 2388.271348673623, ""predicted_n"": 128, ""predicted_ms"": 2987.587, ""predicted_per_token_ms"": 23.524307086614172, ""predicted_per_second"": 42.50922232557579}",ok,limit,639,3438.969149021432
512,128,False,1788767738.2567415,4,42.52075062852031,False,1788767735.2693305,1.2538433074951172,True,512,3204.212720040232,False,existing-active-runtime,128,True,measure,1788767735.0512748,,c4-prompt-0001,etri-dev0001-jetorn,False,nano-ramp-a,etri-dev0001-jetorn,1788767735.0525286,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 213.227, ""prompt_per_token_ms"": 0.416458984375, ""prompt_per_second"": 2401.1968465532036, ""predicted_n"": 128, ""predicted_ms"": 2986.777, ""predicted_per_token_ms"": 23.517929133858267, ""predicted_per_second"": 42.52075062852031}",ok,limit,639,216.8020100798458
512,128,False,1788767741.4692607,4,42.4827025153774,False,1788767738.4788315,0.4286766052246094,True,512,6417.556956876069,False,existing-active-runtime,128,True,measure,1788767735.0512748,,c4-prompt-0000,etri-dev0001-jetorn,False,nano-ramp-a,etri-dev0001-jetorn,1788767735.0517035,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 214.357, ""prompt_per_token_ms"": 0.418666015625, ""prompt_per_second"": 2388.5387461104606, ""predicted_n"": 128, ""predicted_ms"": 2989.452, ""predicted_per_token_ms"": 23.538992125984254, ""predicted_per_second"": 42.4827025153774}",ok,limit,639,3427.1283608395606
512,128,False,1788767744.6781173,4,42.492709321762824,False,1788767741.6888072,1.9574165344238281,True,512,9624.885229859501,False,existing-active-runtime,128,True,measure,1788767735.0512748,,c4-prompt-0002,etri-dev0001-jetorn,False,nano-ramp-a,etri-dev0001-jetorn,1788767735.0532322,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 212.642, ""prompt_per_token_ms"": 0.41531640625, ""prompt_per_second"": 2407.802785903067, ""predicted_n"": 128, ""predicted_ms"": 2988.748, ""predicted_per_token_ms"": 23.53344881889764, ""predicted_per_second"": 42.492709321762824}",ok,limit,639,6635.575792985037
512,128,False,1788767747.8837383,4,42.55625719393423,False,1788767744.8988564,3.557920455932617,True,512,12828.905625967309,False,existing-active-runtime,128,True,measure,1788767735.0512748,,c4-prompt-0003,etri-dev0001-jetorn,False,nano-ramp-a,etri-dev0001-jetorn,1788767735.0548327,"{""cache_n"": 0, ""prompt_n"": 512, ""prompt_ms"": 213.486, ""prompt_per_token_ms"": 0.41696484375, ""prompt_per_second"": 2398.283728207002, ""predicted_n"": 128, ""predicted_ms"": 2984.285, ""predicted_per_token_ms"": 23.498307086614172, ""predicted_per_second"": 42.55625719393423}",ok,limit,639,9844.024984864518
