actual_node,completed_timestamp,dispatched_timestamp,identity_verified,latency_ms,model_digest,phase,ready_observed_at,request_id,response,scheduled_offset,selected_node,status,timestamp,tokens_per_second,ttft_ms
etri-dev0001-jetorn,1788760671.1399572,1788760670.9394176,True,212.8438949584961,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788760670.5730836,7e8b912a7814-0,Edge computing reduces latency by processing data closer,0.0,nano,ok,1788760670.9271135,49.545,43.06806761169433
etri-dev0001-jetorn,1788760672.234356,1788760671.99889,True,307.24239349365234,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788760671.6222212,7e8b912a7814-1,Edge computing reduces latency by processing data closer,1.0,nano,ok,1788760671.9271135,46.806,125.10339007568359
etri-dev0001-jetorn,1788760673.231974,1788760672.928544,True,304.86059188842773,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788760672.6895547,7e8b912a7814-2,Edge computing reduces latency by processing data closer,2.0,nano,ok,1788760672.9271135,39.215,65.50351147460937
etri-dev0001-jetorn,1788760674.30649,1788760673.9803884,True,379.3766498565674,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788760673.7807193,7e8b912a7814-3,Edge computing reduces latency by processing data closer,3.0,nano,ok,1788760673.9271135,38.775,122.57986991882325
etri-dev0001-jetorn,1788760675.214341,1788760674.9361267,True,287.2278690338135,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788760674.8577979,7e8b912a7814-4,Edge computing reduces latency by processing data closer,4.0,nano,ok,1788760674.9271135,39.108,71.41517596435547
etri-dev0001-jetorn,1788760676.2390177,1788760675.9319541,True,311.9044303894043,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788760675.914599,7e8b912a7814-5,Edge computing reduces latency by processing data closer,5.0,nano,ok,1788760675.9271135,34.808,71.25861241149903
etri-dev0001-jetorn,1788760677.2222216,1788760676.9453623,True,295.1083183288574,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788760676.44818,7e8b912a7814-6,Edge computing reduces latency by processing data closer,6.0,nano,ok,1788760676.9271135,39.272,78.86679646301269
etri-dev0001-jetorn,1788760678.2225091,1788760677.9388921,True,295.3958511352539,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788760677.5133445,7e8b912a7814-7,Edge computing reduces latency by processing data closer,7.0,nano,ok,1788760677.9271135,38.998,78.89359306335449
etri-dev0001-jetorn,1788760679.2057908,1788760678.9310684,True,278.67746353149414,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788760678.5909588,7e8b912a7814-8,Edge computing reduces latency by processing data closer,8.0,nano,ok,1788760678.9271135,39.224,61.818887390136716
etri-dev0001-jetorn,1788760680.2041492,1788760679.9312675,True,277.0366668701172,baf6a787fdffd633537aa2eb51cfd54cb93ff08e28040095462bb63daf552878,평시,1788760679.6854672,7e8b912a7814-9,Edge computing reduces latency by processing data closer,9.0,nano,ok,1788760679.9271135,39.42,62.296966903686524
