actual_e2e_ms,block,client_latency_ms,completed_timestamp,concurrency,condition_id,error,eval_count,excluded,inference_ms,model,node_id,node_state,queue_wait_ms,request_id,response,role,run_order,stage_seconds,status,target_node,timestamp,tokens_per_second,ttft_ms,within_block_order
351.694,0,357.131,1788515933.4111273,1,warmup,,8,True,351.656,llama3.2:1b,etri-dev0001-jetorn,ACTIVE,0.038,65baec61-1c48-41ea-b7ca-9308d403d764,Edge computing reduces latency by processing data closer,nano,0,,ok,nano,1788515933.0540004,35.661,125.281,
257.962,1,269.285,1788515933.6848943,4,b01-o01-nano-c4,,8,False,257.948,llama3.2:1b,etri-dev0001-jetorn,ACTIVE,0.015,57360258-0dc6-4196-bd1a-992cdd2d2e14,Edge computing reduces latency by processing data closer,nano,1,12.0,ok,nano,1788515933.4156108,39.22,51.705,1
492.995,1,502.986,1788515933.9200864,4,b01-o01-nano-c4,,8,False,235.032,llama3.2:1b,etri-dev0001-jetorn,ACTIVE,257.963,942e23e7-bc34-4042-b57f-a4011d614ffb,Edge computing reduces latency by processing data closer,nano,1,12.0,ok,nano,1788515933.4171004,41.291,298.114,1
675.984,1,699.033,1788515934.1129203,4,b01-o01-nano-c4,,8,False,192.654,llama3.2:1b,etri-dev0001-jetorn,ACTIVE,483.33,5cc433b7-7de0-4cdc-909b-c8825fa4e2f6,Edge computing reduces latency by processing data closer,nano,1,12.0,ok,nano,1788515933.4138885,49.736,513.549,1
868.332,1,892.21,1788515934.3071196,4,b01-o01-nano-c4,,8,False,192.861,llama3.2:1b,etri-dev0001-jetorn,ACTIVE,675.471,38fea295-e1e7-48b9-92c9-3f9a3b66541d,Edge computing reduces latency by processing data closer,nano,1,12.0,ok,nano,1788515933.4149108,49.763,705.988,1
809.848,1,814.936,1788515934.4998667,4,b01-o01-nano-c4,,8,False,192.784,llama3.2:1b,etri-dev0001-jetorn,ACTIVE,617.064,3860a856-e87c-4dbc-88ec-68309b9e2e06,Edge computing reduces latency by processing data closer,nano,1,12.0,ok,nano,1788515933.684934,49.561,649.609,1
767.907,1,773.207,1788515934.6933124,4,b01-o01-nano-c4,,8,False,192.475,llama3.2:1b,etri-dev0001-jetorn,ACTIVE,575.433,d13d8004-4e92-4e9c-8dbb-329cc1ed0e7d,Edge computing reduces latency by processing data closer,nano,1,12.0,ok,nano,1788515933.92011,49.621,604.815,1
768.69,1,773.675,1788515934.886633,4,b01-o01-nano-c4,,8,False,193.42,llama3.2:1b,etri-dev0001-jetorn,ACTIVE,575.27,725856e8-0e78-47bf-b1e1-1a5e4e6f2044,Edge computing reduces latency by processing data closer,nano,1,12.0,ok,nano,1788515934.1129646,49.656,607.956,1
766.788,1,771.263,1788515935.0784137,4,b01-o01-nano-c4,,8,False,191.532,llama3.2:1b,etri-dev0001-jetorn,ACTIVE,575.256,b78a1d65-fbb8-481b-86b9-0311ef3d5132,Edge computing reduces latency by processing data closer,nano,1,12.0,ok,nano,1788515934.3071532,49.75,604.318,1
766.754,1,772.019,1788515935.2719939,4,b01-o01-nano-c4,,8,False,192.67,llama3.2:1b,etri-dev0001-jetorn,ACTIVE,574.083,4a2e9510-93fa-412b-9453-c7076e36640d,Edge computing reduces latency by processing data closer,nano,1,12.0,ok,nano,1788515934.4999778,49.816,604.697,1
