actual_input_tokens,actual_output_tokens,cache_prompt,case,completed_at,concurrency,decode_tokens_per_second,fallback,first_at,generator_delay_ms,ignore_eos,input_tokens,input_tokens_requested,latency_ms,offered_rps,output_tokens_requested,partial_response,pattern,phase,planned_at,pure_network_ms,request_id,requester,retry,run_id,selected_node,sent_at,server_timings,status,stop_type,target_output_tokens,tokens_cached,ttft_ms,zero_prefix_reuse_verified
512,128,False,i512-o128-c1,1788845186.6401203,1,256.9399064091333,False,1788845186.1456513,1.5997886657714844,True,512,512,536.7244109947933,,128,True,wave,measure,1788845186.1017954,,i512-o128-c1-0,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845186.1033952,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 40.878, 'prompt_per_token_ms': 0.07983984375, 'prompt_per_second': 12525.074612260874, 'predicted_n': 128, 'predicted_ms': 494.279, 'predicted_per_token_ms': 3.8919606299212597, 'predicted_per_second': 256.9399064091333}",ok,limit,128,639,42.25556500023231,True
512,128,False,i512-o128-c2,1788845187.1733575,2,257.5458918388371,False,1788845186.6802745,0.11682510375976562,True,512,512,532.930432993453,,128,True,wave,measure,1788845186.6403103,,i512-o128-c2-0,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845186.640427,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 38.614, 'prompt_per_token_ms': 0.07541796875, 'prompt_per_second': 13259.439581498938, 'predicted_n': 128, 'predicted_ms': 493.116, 'predicted_per_token_ms': 3.882803149606299, 'predicted_per_second': 257.5458918388371}",ok,limit,128,639,39.84729999501724,True
512,128,False,i512-o128-c2,1788845187.7040963,2,258.16313877590017,False,1788845187.2120526,0.2167224884033203,True,512,512,1063.5690710041672,,128,True,wave,measure,1788845186.6403103,,i512-o128-c2-1,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845186.640527,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 38.661, 'prompt_per_token_ms': 0.075509765625, 'prompt_per_second': 13243.32014174491, 'predicted_n': 128, 'predicted_ms': 491.937, 'predicted_per_token_ms': 3.87351968503937, 'predicted_per_second': 258.16313877590017}",ok,limit,128,639,571.5251729998272,True
512,128,False,i512-o128-c4,1788845188.2392018,4,256.50969081493326,False,1788845187.7440128,0.11086463928222656,True,512,512,534.843011002522,,128,True,wave,measure,1788845187.7042475,,i512-o128-c4-0,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845187.7043583,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 38.363, 'prompt_per_token_ms': 0.074927734375, 'prompt_per_second': 13346.192946328494, 'predicted_n': 128, 'predicted_ms': 495.108, 'predicted_per_token_ms': 3.898488188976378, 'predicted_per_second': 256.50969081493326}",ok,limit,128,639,39.654262000112794,True
512,128,False,i512-o128-c4,1788845188.7727053,4,256.79495630441727,False,1788845188.277836,0.5440711975097656,True,512,512,1067.9138599953149,,128,True,wave,measure,1788845187.7042475,,i512-o128-c4-2,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845187.7047915,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 38.564, 'prompt_per_token_ms': 0.0753203125, 'prompt_per_second': 13276.631054869827, 'predicted_n': 128, 'predicted_ms': 494.558, 'predicted_per_token_ms': 3.8941574803149606, 'predicted_per_second': 256.79495630441727}",ok,limit,128,639,573.0446069937898,True
512,128,False,i512-o128-c4,1788845189.3107188,4,255.48282230063285,False,1788845188.8135936,0.18143653869628906,True,512,512,1606.289943010779,,128,True,wave,measure,1788845187.7042475,,i512-o128-c4-1,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845187.704429,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 41.072, 'prompt_per_token_ms': 0.08021875, 'prompt_per_second': 12465.91351772497, 'predicted_n': 128, 'predicted_ms': 497.098, 'predicted_per_token_ms': 3.9141574803149606, 'predicted_per_second': 255.48282230063285}",ok,limit,128,639,1109.1649260051781,True
512,128,False,i512-o128-c4,1788845189.8431218,4,257.3428840639912,False,1788845189.3493931,0.8044242858886719,True,512,512,2138.0695999978343,,128,True,wave,measure,1788845187.7042475,,i512-o128-c4-3,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845187.705052,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 38.528, 'prompt_per_token_ms': 0.07525, 'prompt_per_second': 13289.036544850498, 'predicted_n': 128, 'predicted_ms': 493.505, 'predicted_per_token_ms': 3.8858661417322833, 'predicted_per_second': 257.3428840639912}",ok,limit,128,639,1644.3411149957683,True
512,128,False,i512-o128-c8,1788845190.37807,8,257.10948207622994,False,1788845189.8839867,0.09322166442871094,True,512,512,534.5652379910462,,128,True,wave,measure,1788845189.8434114,,i512-o128-c8-0,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845189.8435047,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 39.523, 'prompt_per_token_ms': 0.077193359375, 'prompt_per_second': 12954.482200237835, 'predicted_n': 128, 'predicted_ms': 493.953, 'predicted_per_token_ms': 3.8893937007874015, 'predicted_per_second': 257.10948207622994}",ok,limit,128,639,40.482210999471135,True
512,128,False,i512-o128-c8,1788845190.9128213,8,255.98439099902438,False,1788845190.4164834,0.6983280181884766,True,512,512,1068.7115020118654,,128,True,wave,measure,1788845189.8434114,,i512-o128-c8-3,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845189.8441098,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 38.444, 'prompt_per_token_ms': 0.0750859375, 'prompt_per_second': 13318.073041306836, 'predicted_n': 128, 'predicted_ms': 496.124, 'predicted_per_token_ms': 3.906488188976378, 'predicted_per_second': 255.98439099902438}",ok,limit,128,639,572.3735180072254,True
512,128,False,i512-o128-c8,1788845191.4445305,8,257.52552442943903,False,1788845190.9513133,0.3235340118408203,True,512,512,1600.795421996736,,128,True,wave,measure,1788845189.8434114,,i512-o128-c8-1,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845189.843735,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 38.598, 'prompt_per_token_ms': 0.07538671875, 'prompt_per_second': 13264.936007046997, 'predicted_n': 128, 'predicted_ms': 493.155, 'predicted_per_token_ms': 3.8831102362204724, 'predicted_per_second': 257.52552442943903}",ok,limit,128,639,1107.5783549895277,True
512,128,False,i512-o128-c8,1788845191.9756327,8,257.858596031008,False,1788845191.4830267,0.5402565002441406,True,512,512,2131.6808549890993,,128,True,wave,measure,1788845189.8434114,,i512-o128-c8-2,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845189.8439517,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 38.465, 'prompt_per_token_ms': 0.075126953125, 'prompt_per_second': 13310.802027817495, 'predicted_n': 128, 'predicted_ms': 492.518, 'predicted_per_token_ms': 3.8780944881889763, 'predicted_per_second': 257.858596031008}",ok,limit,128,639,1639.074927996262,True
512,128,False,i512-o128-c8,1788845192.5068266,8,257.8360852767475,False,1788845192.014015,1.7230510711669922,True,512,512,2661.6920289961854,,128,True,wave,measure,1788845189.8434114,,i512-o128-c8-6,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845189.8451345,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 38.336, 'prompt_per_token_ms': 0.074875, 'prompt_per_second': 13355.592654424041, 'predicted_n': 128, 'predicted_ms': 492.561, 'predicted_per_token_ms': 3.8784330708661416, 'predicted_per_second': 257.8360852767475}",ok,limit,128,639,2168.880345998332,True
512,128,False,i512-o128-c8,1788845193.03866,8,257.35383518006665,False,1788845192.5449982,0.9372234344482422,True,512,512,3194.3111309956294,,128,True,wave,measure,1788845189.8434114,,i512-o128-c8-4,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845189.8443487,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 38.303, 'prompt_per_token_ms': 0.074810546875, 'prompt_per_second': 13367.099182831633, 'predicted_n': 128, 'predicted_ms': 493.484, 'predicted_per_token_ms': 3.8857007874015745, 'predicted_per_second': 257.35383518006665}",ok,limit,128,639,2700.649242004147,True
512,128,False,i512-o128-c8,1788845193.5702229,8,257.776947839748,False,1788845193.0772567,1.4240741729736328,True,512,512,3725.3873830049997,,128,True,wave,measure,1788845189.8434114,,i512-o128-c8-5,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845189.8448355,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 38.662, 'prompt_per_token_ms': 0.07551171875, 'prompt_per_second': 13242.977600744918, 'predicted_n': 128, 'predicted_ms': 492.674, 'predicted_per_token_ms': 3.879322834645669, 'predicted_per_second': 257.776947839748}",ok,limit,128,639,3232.421032997081,True
512,128,False,i512-o128-c8,1788845194.1014566,8,257.6075359332086,False,1788845193.6084325,2.1402835845947266,True,512,512,4255.904734993237,,128,True,wave,measure,1788845189.8434114,,i512-o128-c8-7,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845189.8455517,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 38.299, 'prompt_per_token_ms': 0.074802734375, 'prompt_per_second': 13368.495260972872, 'predicted_n': 128, 'predicted_ms': 492.998, 'predicted_per_token_ms': 3.8818740157480316, 'predicted_per_second': 257.6075359332086}",ok,limit,128,639,3762.881065995316,True
128,128,False,i128-o128-c1,1788845194.6222796,1,252.98703989227133,False,1788845194.120062,0.13136863708496094,True,128,128,512.7496189961676,,128,True,wave,measure,1788845194.1093986,,i128-o128-c1-0,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845194.10953,"{'cache_n': 0, 'prompt_n': 128, 'prompt_ms': 9.982, 'prompt_per_token_ms': 0.077984375, 'prompt_per_second': 12823.081546784213, 'predicted_n': 128, 'predicted_ms': 502.002, 'predicted_per_token_ms': 3.9527716535433073, 'predicted_per_second': 252.98703989227133}",ok,limit,128,255,10.53234699065797,True
2048,128,False,i2048-o128-c1,1788845195.4211159,1,244.5289063974153,False,1788845194.9016042,0.1926422119140625,True,2048,2048,741.1778340028832,,128,True,wave,measure,1788845194.6797452,,i2048-o128-c1-0,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845194.6799378,"{'cache_n': 0, 'prompt_n': 2048, 'prompt_ms': 220.654, 'prompt_per_token_ms': 0.1077412109375, 'prompt_per_second': 9281.499542269798, 'predicted_n': 128, 'predicted_ms': 519.366, 'predicted_per_token_ms': 4.089496062992126, 'predicted_per_second': 244.5289063974153}",ok,limit,128,2175,221.66604800440837,True
512,64,False,i512-o64-c1,1788845195.7270896,1,255.33881028326397,False,1788845195.4803152,0.1552104949951172,True,512,512,286.54955500678625,,64,True,wave,measure,1788845195.4403846,,i512-o64-c1-0,etri-ser0001-CG0MSB,False,sweep,etri-ser0001-CG0MSB,1788845195.4405398,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 38.937, 'prompt_per_token_ms': 0.076048828125, 'prompt_per_second': 13149.446541849655, 'predicted_n': 64, 'predicted_ms': 246.731, 'predicted_per_token_ms': 3.9163650793650793, 'predicted_per_second': 255.33881028326397}",ok,limit,64,575,39.774984994437546,True
