actual_e2e_ms,block,client_latency_ms,completed_timestamp,concurrency,condition_id,eval_count,excluded,inference_ms,model,node_id,node_state,queue_wait_ms,request_id,response,role,run_order,stage_seconds,status,target_node,timestamp,tokens_per_second,ttft_ms,within_block_order
216.81,0,217.792,1788522085.4949822,1,warmup,8,True,216.808,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,0.002,8f8b4623-f9a2-420d-9305-e528ec718177,Edge computing reduces latency by processing data closer,agx,0,,ok,agx,1788522085.277192,275.169,187.282,
190.789,1,193.23,1788522085.688964,16,b01-o01-agx-c16,8,False,190.785,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,0.004,29b6a217-9e37-4cfd-bcb9-7b00f895800b,Edge computing reduces latency by processing data closer,agx,1,15.0,ok,agx,1788522085.4957361,281.889,162.086,1
369.392,1,373.019,1788522085.8693454,16,b01-o01-agx-c16,8,False,180.138,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,189.254,d062d830-590b-4ff6-a6bd-1620f667e924,Edge computing reduces latency by processing data closer,agx,1,15.0,ok,agx,1788522085.4963284,274.801,339.907,1
548.43,1,551.574,1788522086.048448,16,b01-o01-agx-c16,8,False,178.999,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,369.431,11acb982-3818-4363-9ab1-e2290ce60267,Edge computing reduces latency by processing data closer,agx,1,15.0,ok,agx,1788522085.4968765,278.542,519.138,1
734.295,1,738.268,1788522086.234911,16,b01-o01-agx-c16,8,False,186.347,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,547.948,8587ed53-b06f-48ae-88a2-142df892b2b5,Edge computing reduces latency by processing data closer,agx,1,15.0,ok,agx,1788522085.4966445,281.561,705.432,1
914.461,1,919.132,1788522086.4151983,16,b01-o01-agx-c16,8,False,180.23,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,734.231,2557bcca-68ce-4a18-bf5e-9c4795733f29,Edge computing reduces latency by processing data closer,agx,1,15.0,ok,agx,1788522085.496067,280.731,885.406,1
1102.302,1,1106.013,1788522086.6032689,16,b01-o01-agx-c16,8,False,188.236,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,914.066,bdad4385-d8ce-4d10-af15-9b31b8fdd5a6,Edge computing reduces latency by processing data closer,agx,1,15.0,ok,agx,1788522085.4972568,276.472,1073.053,1
1280.057,1,1284.4,1788522086.781853,16,b01-o01-agx-c16,8,False,178.259,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,1101.798,b831ce47-bfed-469f-8a54-26252601f15a,Edge computing reduces latency by processing data closer,agx,1,15.0,ok,agx,1788522085.4974544,279.408,1250.97,1
1477.63,1,1481.847,1788522086.9795568,16,b01-o01-agx-c16,8,False,197.856,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,1279.773,b91196b4-e859-42b4-9e29-1fa602d36591,Edge computing reduces latency by processing data closer,agx,1,15.0,ok,agx,1788522085.497711,281.343,1448.944,1
1686.751,1,1692.379,1788522087.1905472,16,b01-o01-agx-c16,8,False,210.821,llama3.2:1b,etri-ser0001-cg0msb,ACTIVE,1475.93,43abf3b7-5674-4f8b-8f9c-18c66ee7d6b3,Edge computing reduces latency by processing data closer,agx,1,15.0,ok,agx,1788522085.498169,280.781,1658.008,1
